1	32	0.94117647
1	22	0.94117647
1	20	0.94117647
1	18	0.94117647
1	14	0.94117647
1	13	0.94117647
1	12	0.94117647
1	11	0.94117647
1	9	0.94117647
1	8	0.94117647
1	7	0.94117647
1	6	0.94117647
1	5	0.94117647
1	4	0.94117647
1	3	0.94117647
1	2	0.94117647
10	34	0.11764706
10	3	0.11764706
11	6	0.17647059
11	5	0.17647059
13	4	0.11764706
14	34	0.29411766
14	4	0.29411766
14	3	0.29411766
14	2	0.29411766
15	34	0.11764706
15	33	0.11764706
16	34	0.11764706
16	33	0.11764706
17	7	0.11764706
17	6	0.11764706
18	2	0.11764706
19	34	0.11764706
19	33	0.11764706
2	31	0.52941179
2	22	0.52941179
2	20	0.52941179
2	8	0.52941179
2	4	0.52941179
2	3	0.52941179
20	34	0.17647059
21	34	0.11764706
21	33	0.11764706
23	34	0.11764706
23	33	0.11764706
24	34	0.29411766
24	33	0.29411766
24	30	0.29411766
24	28	0.29411766
24	26	0.29411766
25	32	0.17647059
25	28	0.17647059
25	26	0.17647059
26	32	0.17647059
27	34	0.11764706
27	30	0.11764706
28	34	0.23529412
28	3	0.23529412
29	34	0.17647059
29	32	0.17647059
29	3	0.17647059
3	33	0.58823532
3	9	0.58823532
3	8	0.58823532
3	4	0.58823532
30	34	0.23529412
30	33	0.23529412
31	34	0.23529412
31	33	0.23529412
31	9	0.23529412
32	34	0.35294119
32	33	0.35294119
33	34	0.70588237
33	9	0.70588237
34	9	1
4	8	0.35294119
5	7	0.17647059
6	7	0.23529412
